Unnamed: 0,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
27111,1181217,Credit card,,Unsolicited issuance of credit card,,MN,55378.0,2015-01-05,2015-01-05,U.S. Bancorp,Closed with non-monetary relief,Yes,No
21582,1198560,Credit reporting,,Incorrect information on credit report,Information is not mine,WI,53704.0,2015-01-19,2015-01-19,TransUnion,Closed with explanation,Yes,
2744,1264028,Credit reporting,,Incorrect information on credit report,Public record,TX,77064.0,2015-03-02,2015-03-02,Experian,Closed with explanation,Yes,Yes
21584,1198559,Credit card,,Balance transfer,,CT,,2015-01-19,2015-01-19,Discover,Closed with non-monetary relief,Yes,
3383,1261921,Credit card,,Other,,TX,75773.0,2015-02-28,2015-02-28,Citibank,Closed with monetary relief,Yes,
6316,1253179,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,FL,32955.0,2015-02-22,2015-02-23,Ocwen,Closed with explanation,No,
6111,1253358,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,IL,60657.0,2015-02-23,2015-02-23,"I.C. System, Inc.",Closed with explanation,Yes,Yes
9093,1241325,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,WI,53110.0,2015-02-15,2015-02-15,Ocwen,Closed with explanation,Yes,Yes
2907,1263342,Payday loan,,Charged fees or interest I didn't expect,,NJ,7601.0,2015-03-02,2015-03-11,"CashCall, Inc.",Closed with explanation,Yes,Yes
14907,1219848,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,NY,10014.0,2015-02-02,2015-02-04,"Diversified Adjustment Service, Inc.",In progress,Yes,
21864,1198088,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,32968.0,2015-01-17,2015-01-22,Equifax,Closed with explanation,Yes,Yes
10152,1238391,Bank account or service,Checking account,Deposits and withdrawals,,MD,20895.0,2015-02-12,2015-02-24,Capital One,Closed with explanation,Yes,
26462,1182832,Bank account or service,Checking account,Using a debit or ATM card,,NY,10026.0,2015-01-06,2015-01-06,Citibank,Closed with monetary relief,Yes,
13576,1227546,Credit reporting,,Incorrect information on credit report,Account status,TN,38104.0,2015-02-05,2015-02-24,Equifax,Closed with explanation,Yes,
1804,1270051,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,VA,22310.0,2015-03-05,2015-03-05,Residential Credit Solutions,Closed with explanation,Yes,
3978,1258655,Money transfers,International money transfer,Money was not available when promised,,MD,20874.0,2015-02-26,2015-02-26,PNC Bank,In progress,Yes,
13559,1228324,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,CA,94105.0,2015-02-05,2015-02-06,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
6599,1250465,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,NY,10019.0,2015-02-20,2015-02-20,"Pinnacle Credit Services, LLC",Closed with explanation,Yes,
24013,1190478,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NV,89502.0,2015-01-12,2015-01-13,"Green Tree Servicing, LLC",Closed with explanation,Yes,
6145,1253182,Consumer loan,Vehicle loan,Shopping for a loan or lease,,CO,80247.0,2015-02-23,2015-02-23,USAA Savings,Closed with non-monetary relief,Yes,
7539,1247796,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,AL,36303.0,2015-02-19,2015-02-25,Solidus Group LLC.,Closed with explanation,Yes,
2932,1263926,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,CA,95060.0,2015-03-02,2015-03-02,Bank of America,Closed,Yes,Yes
19934,1205892,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,TX,75559.0,2015-01-22,2015-01-23,Capital One,Closed with explanation,Yes,
24880,1189127,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,CA,95945.0,2015-01-09,2015-01-12,Citibank,Closed with explanation,Yes,
11557,1231704,Credit card,,Late fee,,CA,90503.0,2015-02-09,2015-02-09,GE Capital Retail,Closed with monetary relief,Yes,
21892,1198217,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,OR,97127.0,2015-01-17,2015-01-22,Wells Fargo,Closed with explanation,Yes,
10821,1236440,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,VA,24083.0,2015-02-11,2015-02-18,JPMorgan Chase,Closed with explanation,Yes,Yes
11798,1230711,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33186.0,2015-02-09,2015-02-09,"Sherloq Group, Inc",Closed with explanation,Yes,Yes
13707,1224370,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,11590.0,2015-02-04,2015-02-04,Experian,Closed,Yes,
14044,1226215,Credit card,,Delinquent account,,MD,21236.0,2015-02-04,2015-02-11,Citibank,Closed with explanation,Yes,
6824,1250773,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,FL,32824.0,2015-02-20,2015-02-21,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,
12794,1227886,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,GA,30044.0,2015-02-06,2015-02-06,"Credence Resource Management, LLC",Closed with explanation,No,
15716,1219614,Credit reporting,,Incorrect information on credit report,Personal information,PA,18015.0,2015-01-31,2015-02-01,Equifax,Closed with explanation,Yes,
8413,1241946,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,MI,48382.0,2015-02-17,2015-02-23,Ocwen,In progress,Yes,
21620,1198608,Credit card,,Balance transfer,,WA,98223.0,2015-01-19,2015-01-21,JPMorgan Chase,Closed with explanation,Yes,
14159,1223763,Bank account or service,Checking account,Using a debit or ATM card,,FL,34656.0,2015-02-04,2015-02-05,Bank of America,Closed with explanation,Yes,
9928,1237370,Money transfers,International money transfer,Other transaction issues,,OR,97217.0,2015-02-12,2015-02-12,Umpqua Holdings Corporation,Closed with monetary relief,Yes,
28120,1178065,Credit reporting,,Incorrect information on credit report,Account status,OH,44122.0,2015-01-01,2015-01-01,Equifax,Closed with explanation,Yes,No
22117,1198144,Bank account or service,Checking account,"Account opening, closing, or management",,GA,30324.0,2015-01-16,2015-01-17,Ally Financial Inc.,Closed with explanation,Yes,
6483,1251040,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,MA,2163.0,2015-02-21,2015-02-21,"The CBE Group, Inc.",Closed with explanation,Yes,
10125,1237418,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,MA,2048.0,2015-02-12,2015-02-19,JPMorgan Chase,In progress,Yes,
19027,1207295,Prepaid card,Gift or merchant card,Unauthorized transactions/trans. issues,,NJ,7040.0,2015-01-23,2015-01-28,Amex,Closed with explanation,Yes,
27825,1179161,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,94571.0,2015-01-02,2015-01-08,Equifax,Closed with explanation,Yes,No
19780,1204498,Money transfers,Domestic (US) money transfer,Incorrect/missing disclosures or info,,CA,95131.0,2015-01-22,2015-01-22,PayPal,Closed,Yes,
12900,1228510,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,TN,37921.0,2015-02-06,2015-02-18,RJM Acquisitions LLC,Closed with explanation,Yes,
16255,1217229,Credit reporting,,Credit reporting company's investigation,Investigation took too long,CA,92811.0,2015-01-29,2015-01-29,Equifax,Closed with explanation,Yes,
23211,1195621,Debt collection,Credit card,Communication tactics,Used obscene/profane/abusive language,MI,48034.0,2015-01-14,2015-01-15,"Portfolio Recovery Associates, Inc.",Closed with explanation,Yes,
25208,1186487,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,MO,20715.0,2015-01-08,2015-01-15,Franklin Credit Management,Closed with explanation,Yes,
23104,1193279,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,PA,19428.0,2015-01-14,2015-01-16,Wells Fargo,Closed with explanation,Yes,Yes
16720,1215698,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NY,11030.0,2015-01-28,2015-01-29,"Mercantile Adjustment Bureau, LLC",Closed with explanation,Yes,
5382,1254256,Credit reporting,,Incorrect information on credit report,Information is not mine,TX,77340.0,2015-02-24,2015-02-24,Equifax,In progress,Yes,
12053,1233055,Bank account or service,Checking account,"Account opening, closing, or management",,CA,93065.0,2015-02-09,2015-02-10,JPMorgan Chase,Closed with explanation,Yes,Yes
21148,1199485,Mortgage,Other mortgage,Settlement process and costs,,OH,43207.0,2015-01-20,2015-01-20,U.S. Bancorp,Closed with explanation,Yes,
12233,1230542,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,TX,76301.0,2015-02-08,2015-02-08,Nationstar Mortgage,Closed with explanation,Yes,
25217,1186539,Money transfers,Domestic (US) money transfer,Money was not available when promised,,PA,19446.0,2015-01-08,2015-01-13,PNC Bank,Closed with explanation,Yes,Yes
4254,1258899,Credit reporting,,Incorrect information on credit report,Account status,WA,98101.0,2015-02-26,2015-02-26,TransUnion,Closed with explanation,Yes,
24946,1188040,Student loan,Non-federal student loan,Can't repay my loan,,CA,91307.0,2015-01-09,2015-01-13,Sallie Mae,Closed with explanation,Yes,
24165,1191037,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,NJ,8723.0,2015-01-12,2015-01-15,"Green Tree Servicing, LLC",Closed with explanation,Yes,Yes
23106,1193282,Credit card,,Other,,CO,80112.0,2015-01-14,2015-01-14,Citibank,Closed with non-monetary relief,Yes,
15130,1219819,Credit card,,Overlimit fee,,CA,95202.0,2015-02-02,2015-02-03,U.S. Bancorp,Closed with explanation,Yes,Yes
12976,1228656,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,NJ,7871.0,2015-02-06,2015-02-10,Ocwen,Closed with explanation,Yes,
3993,1258697,Credit reporting,,Incorrect information on credit report,Account status,MA,1945.0,2015-02-26,2015-03-04,TransUnion,Closed with explanation,Yes,
12377,1230380,Credit reporting,,Credit reporting company's investigation,Investigation took too long,CT,6082.0,2015-02-07,2015-02-08,TransUnion,Closed with explanation,Yes,
13693,1223749,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,MA,2554.0,2015-02-04,2015-02-09,JPMorgan Chase,In progress,Yes,
4461,1256765,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NJ,7843.0,2015-02-25,2015-02-25,M&T Bank,In progress,Yes,
27310,1180099,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,92612.0,2015-01-04,2015-01-05,Bonneville Billing and Collections,Closed with explanation,Yes,No
5485,1254673,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,UT,84401.0,2015-02-24,2015-02-26,USAA Savings,Closed with explanation,Yes,
15420,1220230,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,CT,6241.0,2015-02-02,2015-02-02,"Portfolio Recovery Associates, Inc.",Closed with non-monetary relief,Yes,
19787,1204121,Credit reporting,,Incorrect information on credit report,Account status,TX,76018.0,2015-01-22,2015-02-27,TransUnion,Closed with explanation,Yes,
15547,1219655,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,AZ,85209.0,2015-02-01,2015-02-01,"Convergent Resources, Inc.",Closed with explanation,Yes,
20042,1204544,Credit reporting,,Incorrect information on credit report,Account status,CA,92270.0,2015-01-22,2015-01-22,Experian,Closed with non-monetary relief,Yes,
27594,1179958,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,WA,98033.0,2015-01-03,2015-01-04,Encore Capital Group,Closed with non-monetary relief,Yes,No
579,1277408,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,NJ,7728.0,2015-03-11,2015-03-11,Experian,In progress,Yes,
5535,1254911,Credit card,,Other,,NJ,8817.0,2015-02-24,2015-03-06,Capital One,Closed with explanation,Yes,
3829,1261735,Credit card,,Closing/Cancelling account,,CA,94014.0,2015-02-27,2015-03-02,Bank of America,Closed with explanation,Yes,
11227,1234496,Mortgage,Other mortgage,"Application, originator, mortgage broker",,WA,98362.0,2015-02-10,2015-02-10,OneWest Bank,Closed with non-monetary relief,Yes,Yes
12733,1228559,Credit reporting,,Incorrect information on credit report,Information is not mine,AZ,85301.0,2015-02-06,2015-03-09,Experian,In progress,Yes,
3318,1262068,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,IL,60016.0,2015-02-28,2015-03-01,TCF National Bank,Closed with explanation,Yes,
16707,1216066,Debt collection,Payday loan,Communication tactics,Threatened to take legal action,OH,43068.0,2015-01-29,2015-01-29,Checksmart Financial Company,Closed with explanation,Yes,
26159,1183877,Student loan,Non-federal student loan,Can't repay my loan,,AZ,85226.0,2015-01-07,2015-01-07,Genesis Lending,Closed with explanation,Yes,Yes
24875,1189112,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,AL,36869.0,2015-01-09,2015-01-09,Revenue Recovery Corporation,Closed with explanation,Yes,Yes
27918,1178257,Money transfers,Domestic (US) money transfer,Other transaction issues,,GA,30180.0,2015-01-02,2015-01-07,Western Union,Closed with explanation,Yes,
23555,1205607,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,CA,95391.0,2015-01-13,2015-01-13,Bank of America,Closed with explanation,Yes,
21557,1198468,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,TX,75044.0,2015-01-19,2015-01-19,Experian,Closed with non-monetary relief,Yes,
25523,1185893,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,NY,12182.0,2015-01-08,2015-01-13,Bank of America,Closed with explanation,Yes,
27112,1181247,Credit reporting,,Incorrect information on credit report,Information is not mine,AZ,85296.0,2015-01-05,2015-01-09,Experian,Closed with explanation,Yes,No
23059,1193086,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,MD,21222.0,2015-01-14,2015-01-16,Specialized Loan Servicing LLC,Closed,Yes,
24464,1189491,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,TX,75074.0,2015-01-11,2015-01-11,Bank of America,Closed with explanation,Yes,Yes
7886,1244190,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,LA,70006.0,2015-02-18,2015-02-18,Academy Mortgage,Closed with explanation,Yes,
11766,1232861,Prepaid card,Government benefit payment card,"Managing, opening, or closing account",,MO,64134.0,2015-02-09,2015-02-13,"NetSpend Corporation,  a TSYS Company",Closed with explanation,Yes,
16264,1216613,Credit reporting,,Incorrect information on credit report,Account terms,CA,90805.0,2015-01-29,2015-02-03,Discover,Closed with explanation,Yes,
8518,1243659,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NY,11746.0,2015-02-17,2015-02-27,Wells Fargo,Closed with explanation,Yes,
14431,1221579,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,MI,48382.0,2015-02-03,2015-02-06,Wells Fargo,Closed with explanation,Yes,
5673,1251622,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NJ,7112.0,2015-02-23,2015-02-27,"Shellpoint Partners, LLC",Closed with explanation,Yes,
12499,1230286,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,NJ,8857.0,2015-02-07,2015-02-07,"Portfolio Recovery Associates, Inc.",Closed with explanation,Yes,Yes
12520,1230230,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,10128.0,2015-02-07,2015-02-07,TransUnion,In progress,Yes,
15435,1219636,Credit card,,Other,,NY,10452.0,2015-02-01,2015-02-05,"Portfolio Recovery Associates, Inc.",Closed with explanation,Yes,Yes
10664,1237338,Debt collection,Credit card,Improper contact or sharing of info,Contacted me after I asked not to,FL,32218.0,2015-02-11,2015-02-12,"Portfolio Recovery Associates, Inc.",Closed with non-monetary relief,Yes,Yes
13754,1226092,Bank account or service,Other bank product/service,"Account opening, closing, or management",,GA,30814.0,2015-02-04,2015-02-05,Regions,Closed with explanation,Yes,
1227,1270447,Consumer loan,Vehicle lease,Managing the loan or lease,,GA,30066.0,2015-03-06,2015-03-06,Ally Financial Inc.,In progress,Yes,
26821,1180219,Bank account or service,Checking account,Problems caused by my funds being low,,NY,11212.0,2015-01-05,2015-01-05,Bank of America,Closed with monetary relief,Yes,
28023,1178486,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,MD,21227.0,2015-01-02,2015-01-02,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,No
9453,1240238,Debt collection,Credit card,Communication tactics,Threatened to take legal action,MN,56011.0,2015-02-13,2015-02-13,Encore Capital Group,Closed with explanation,Yes,Yes
13954,1224701,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,UT,84170.0,2015-02-04,2015-02-04,"Health Services Asset Management, LLC.",Closed with explanation,Yes,Yes
9116,1241423,Credit card,,Closing/Cancelling account,,CA,92617.0,2015-02-15,2015-02-15,Discover,Closed with explanation,Yes,
16254,1216291,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,MD,20740.0,2015-01-29,2015-01-29,TransUnion,Closed with non-monetary relief,Yes,
17629,1211592,Credit reporting,,Incorrect information on credit report,Account status,OH,44147.0,2015-01-27,2015-02-26,Equifax,Closed with explanation,Yes,
